X_cm-1,raw_Y,raw_E,smoothed_Y,smoothed_E,effective_window_points
-2.010340000000000060e+01,7.790759999999999873e-03,2.012490000000000025e-03,8.284970000000000875e-03,1.205113417815933171e-03,5.000000000000000000e+00
-1.998239999999999839e+01,7.977980000000000835e-03,2.061089999999999797e-03,7.852267499999999317e-03,1.014058908625381722e-03,5.000000000000000000e+00
-1.986139999999999972e+01,9.086169999999999317e-03,2.184600000000000083e-03,7.859643999999998965e-03,9.076442674682631264e-04,5.000000000000000000e+00
-1.974040000000000106e+01,6.554159999999999847e-03,1.839120000000000078e-03,7.879986000000000282e-03,9.104977451526170395e-04,5.000000000000000000e+00
-1.961939999999999884e+01,7.889149999999999288e-03,2.035289999999999929e-03,7.023124000000000380e-03,8.585816627368651408e-04,5.000000000000000000e+00
-1.949849999999999994e+01,7.892470000000000388e-03,2.044460000000000114e-03,7.124079999999999649e-03,8.665961379697004110e-04,5.000000000000000000e+00
-1.937750000000000128e+01,3.693670000000000026e-03,1.397140000000000057e-03,7.612800000000000296e-03,8.978312369838778104e-04,5.000000000000000000e+00
-1.925649999999999906e+01,9.590950000000000863e-03,2.262329999999999897e-03,7.641078000000000800e-03,9.016246352579325874e-04,5.000000000000000000e+00
-1.913550000000000040e+01,8.997760000000000480e-03,2.181779999999999917e-03,8.504723999999999964e-03,9.515486436141874218e-04,5.000000000000000000e+00
-1.901450000000000173e+01,8.030539999999999207e-03,2.076789999999999799e-03,9.270472000000000087e-03,9.946341098333597378e-04,5.000000000000000000e+00
-1.889349999999999952e+01,1.221069999999999968e-02,2.548089999999999817e-03,9.665841999999999143e-03,1.015911310741247821e-03,5.000000000000000000e+00
-1.877260000000000062e+01,7.522410000000000208e-03,2.012040000000000096e-03,1.009453000000000086e-02,1.039860957811187441e-03,5.000000000000000000e+00
-1.865159999999999840e+01,1.156779999999999961e-02,2.487490000000000187e-03,1.088144200000000159e-02,1.078277136129668617e-03,5.000000000000000000e+00
-1.853059999999999974e+01,1.114120000000000041e-02,2.447659999999999940e-03,1.045014199999999907e-02,1.057619292076312448e-03,5.000000000000000000e+00
-1.840960000000000107e+01,1.196509999999999935e-02,2.519389999999999824e-03,1.210843999999999983e-02,1.138667792761347995e-03,5.000000000000000000e+00
-1.828859999999999886e+01,1.005419999999999925e-02,2.321569999999999797e-03,1.164273599999999902e-02,1.118007839629043014e-03,5.000000000000000000e+00
-1.816760000000000019e+01,1.581389999999999879e-02,2.915210000000000110e-03,1.182413600000000072e-02,1.125674080746287813e-03,5.000000000000000000e+00
-1.804670000000000130e+01,9.239280000000000756e-03,2.240989999999999996e-03,1.184365600000000102e-02,1.128312032514055705e-03,5.000000000000000000e+00
-1.792569999999999908e+01,1.204820000000000023e-02,2.533979999999999913e-03,1.173944600000000060e-02,1.124210418763320297e-03,5.000000000000000000e+00
-1.780470000000000041e+01,1.206270000000000085e-02,2.548719999999999979e-03,1.066556599999999959e-02,1.074152917733783375e-03,5.000000000000000000e+00
-1.768370000000000175e+01,9.533150000000000651e-03,2.271280000000000087e-03,1.109011000000000025e-02,1.097663336053455053e-03,5.000000000000000000e+00
-1.756269999999999953e+01,1.044450000000000066e-02,2.397359999999999856e-03,1.111217000000000107e-02,1.100705632584843231e-03,5.000000000000000000e+00
-1.744170000000000087e+01,1.136200000000000057e-02,2.509690000000000185e-03,1.219432999999999975e-02,1.154395960632226010e-03,5.000000000000000000e+00
-1.732079999999999842e+01,1.215849999999999917e-02,2.566759999999999962e-03,1.239809999999999870e-02,1.166007055035260141e-03,5.000000000000000000e+00
-1.719979999999999976e+01,1.747349999999999945e-02,3.085919999999999809e-03,1.266167999999999981e-02,1.176719038217704724e-03,5.000000000000000000e+00
-1.707880000000000109e+01,1.055200000000000062e-02,2.415009999999999987e-03,1.388956000000000045e-02,1.230253444947015809e-03,5.000000000000000000e+00
-1.695779999999999887e+01,1.176239999999999924e-02,2.524820000000000102e-03,1.514747999999999963e-02,1.289318494258109935e-03,5.000000000000000000e+00
-1.683680000000000021e+01,1.750140000000000029e-02,3.085440000000000058e-03,1.563543999999999698e-02,1.314104336358418732e-03,5.000000000000000000e+00
-1.671580000000000155e+01,1.844809999999999853e-02,3.210719999999999807e-03,1.789461999999999997e-02,1.409245681950453948e-03,5.000000000000000000e+00
-1.659489999999999910e+01,1.991329999999999836e-02,3.337080000000000081e-03,1.974911999999999848e-02,1.483705901968445989e-03,5.000000000000000000e+00
-1.647390000000000043e+01,2.184789999999999996e-02,3.508540000000000096e-03,1.992207999999999826e-02,1.493080739207361049e-03,5.000000000000000000e+00
-1.635290000000000177e+01,2.103489999999999874e-02,3.429279999999999828e-03,1.995145999999999725e-02,1.493435310309757045e-03,5.000000000000000000e+00
-1.623189999999999955e+01,1.836619999999999919e-02,3.196500000000000122e-03,1.983027999999999874e-02,1.487744098878567272e-03,5.000000000000000000e+00
-1.611090000000000089e+01,1.859500000000000042e-02,3.214840000000000059e-03,1.957400000000000112e-02,1.476536474784148492e-03,5.000000000000000000e+00
-1.598990000000000045e+01,1.930739999999999887e-02,3.272909999999999969e-03,1.982108000000000134e-02,1.487378582422108292e-03,5.000000000000000000e+00
-1.586899999999999977e+01,2.056650000000000145e-02,3.388110000000000167e-03,2.172394000000000408e-02,1.560126532640221430e-03,5.000000000000000000e+00
-1.574799999999999933e+01,2.227029999999999982e-02,3.544480000000000026e-03,2.352152000000000062e-02,1.626252264828553524e-03,5.000000000000000000e+00
-1.562700000000000067e+01,2.788049999999999903e-02,3.969900000000000165e-03,2.547059999999999949e-02,1.695061306334375711e-03,5.000000000000000000e+00
-1.550600000000000023e+01,2.758290000000000047e-02,3.950030000000000208e-03,2.739865999999999829e-02,1.758690170021996735e-03,5.000000000000000000e+00
-1.538499999999999979e+01,2.905280000000000015e-02,4.052820000000000381e-03,2.980919999999999750e-02,1.838577203475557243e-03,5.000000000000000000e+00
-1.526399999999999935e+01,3.020679999999999893e-02,4.119860000000000362e-03,3.172801999999999567e-02,1.901112728993207320e-03,5.000000000000000000e+00
-1.514310000000000045e+01,3.432299999999999934e-02,4.443840000000000116e-03,3.417467999999999895e-02,1.976861130885020166e-03,5.000000000000000000e+00
-1.502210000000000001e+01,3.747459999999999680e-02,4.648300000000000175e-03,3.593818000000000012e-02,2.030517339569401589e-03,5.000000000000000000e+00
-1.490109999999999957e+01,3.981620000000000298e-02,4.790250000000000237e-03,3.827417999999999793e-02,2.098016675027155557e-03,5.000000000000000000e+00
-1.478009999999999913e+01,3.787030000000000257e-02,4.669139999999999575e-03,4.080189999999999512e-02,2.167356350253459973e-03,5.000000000000000000e+00
-1.465910000000000046e+01,4.188680000000000181e-02,4.892859999999999744e-03,4.413472000000000228e-02,2.257792196307711625e-03,5.000000000000000000e+00
-1.453810000000000002e+01,4.696159999999999918e-02,5.209769999999999852e-03,4.993968000000000018e-02,2.406896016721120964e-03,5.000000000000000000e+00
-1.441719999999999935e+01,5.413869999999999794e-02,5.622410000000000428e-03,5.636881999999998616e-02,2.563265412174088598e-03,5.000000000000000000e+00
-1.429620000000000068e+01,6.884099999999999941e-02,6.350950000000000172e-03,6.126485999999999738e-02,2.679075811284182575e-03,5.000000000000000000e+00
-1.417520000000000024e+01,7.001599999999999491e-02,6.421089999999999957e-03,6.710573999999999706e-02,2.806340616991458408e-03,5.000000000000000000e+00
