X_cm-1,subtracted_Y,subtracted_E,loaded_raw_Y,loaded_raw_E,empty_smoothed_Y,empty_smoothed_E
-2.010340000000000060e+01,6.422699999999986059e-04,2.004893899486953016e-03,8.927239999999999481e-03,1.602279999999999980e-03,8.284970000000000875e-03,1.205113417815933171e-03
-1.998239999999999839e+01,9.577925000000004491e-04,1.895095879305978576e-03,8.810059999999999766e-03,1.600960000000000013e-03,7.852267499999999317e-03,1.014058908625381722e-03
-1.986139999999999972e+01,-1.646233999999999024e-03,1.613968773293956776e-03,6.213409999999999940e-03,1.334569999999999984e-03,7.859643999999998965e-03,9.076442674682631264e-04
-1.974040000000000106e+01,-1.372226000000000695e-03,1.639546011561737000e-03,6.507759999999999587e-03,1.363489999999999971e-03,7.879986000000000282e-03,9.104977451526170395e-04
-1.961939999999999884e+01,5.341560000000000405e-04,1.706153233442998622e-03,7.557280000000000421e-03,1.474379999999999961e-03,7.023124000000000380e-03,8.585816627368651408e-04
-1.949849999999999994e+01,2.069150000000000503e-03,1.843769162000492975e-03,9.193230000000000152e-03,1.627420000000000082e-03,7.124079999999999649e-03,8.665961379697004110e-04
-1.937750000000000128e+01,7.333199999999999788e-04,1.788773928422482352e-03,8.346120000000000275e-03,1.547130000000000076e-03,7.612800000000000296e-03,8.978312369838778104e-04
-1.925649999999999906e+01,3.303421999999998568e-03,2.000377119071301227e-03,1.094449999999999937e-02,1.785659999999999895e-03,7.641078000000000800e-03,9.016246352579325874e-04
-1.913550000000000040e+01,-1.144839999999997665e-04,1.829909867633922613e-03,8.390240000000000198e-03,1.563050000000000073e-03,8.504723999999999964e-03,9.515486436141874218e-04
-1.901450000000000173e+01,-9.929919999999998331e-04,1.836224423251145085e-03,8.277480000000000254e-03,1.543510000000000108e-03,9.270472000000000087e-03,9.946341098333597378e-04
-1.889349999999999952e+01,-4.345921999999999459e-03,1.604483269900936100e-03,5.319919999999999684e-03,1.241890000000000051e-03,9.665841999999999143e-03,1.015911310741247821e-03
-1.877260000000000062e+01,-2.830920000000000658e-03,1.790741205110331054e-03,7.263610000000000205e-03,1.457890000000000097e-03,1.009453000000000086e-02,1.039860957811187441e-03
-1.865159999999999840e+01,-1.291042000000000925e-03,1.989144067985021240e-03,9.590400000000000660e-03,1.671530000000000064e-03,1.088144200000000159e-02,1.078277136129668617e-03
-1.853059999999999974e+01,-3.944551999999998740e-03,1.730011159898108908e-03,6.505590000000000331e-03,1.369079999999999950e-03,1.045014199999999907e-02,1.057619292076312448e-03
-1.840960000000000107e+01,-5.128019999999999627e-03,1.834796877224288301e-03,6.980420000000000201e-03,1.438720000000000103e-03,1.210843999999999983e-02,1.138667792761347995e-03
-1.828859999999999886e+01,-2.265355999999999620e-03,1.995988654670161153e-03,9.377379999999999396e-03,1.653490000000000081e-03,1.164273599999999902e-02,1.118007839629043014e-03
-1.816760000000000019e+01,-1.937686000000000963e-03,2.039148896025986656e-03,9.886449999999999752e-03,1.700289999999999918e-03,1.182413600000000072e-02,1.125674080746287813e-03
-1.804670000000000130e+01,1.162543999999999730e-03,2.245890650680927494e-03,1.300620000000000075e-02,1.941889999999999936e-03,1.184365600000000102e-02,1.128312032514055705e-03
-1.792569999999999908e+01,-2.073115999999999848e-03,2.029732461990002915e-03,9.666330000000000755e-03,1.689959999999999900e-03,1.173944600000000060e-02,1.124210418763320297e-03
-1.780470000000000041e+01,3.760534000000001140e-03,2.326104853242002939e-03,1.442610000000000073e-02,2.063240000000000039e-03,1.066556599999999959e-02,1.074152917733783375e-03
-1.768370000000000175e+01,-1.093099999999996158e-04,2.112392940580895117e-03,1.098080000000000063e-02,1.804810000000000008e-03,1.109011000000000025e-02,1.097663336053455053e-03
-1.756269999999999953e+01,4.726299999999981905e-04,2.153845331518491630e-03,1.158479999999999926e-02,1.851350000000000088e-03,1.111217000000000107e-02,1.100705632584843231e-03
-1.744170000000000087e+01,-1.293529999999999333e-03,2.136561409467090372e-03,1.090080000000000042e-02,1.797849999999999926e-03,1.219432999999999975e-02,1.154395960632226010e-03
-1.732079999999999842e+01,-2.066999999999988985e-04,2.230754031710354118e-03,1.219139999999999981e-02,1.901759999999999952e-03,1.239809999999999870e-02,1.166007055035260141e-03
-1.719979999999999976e+01,1.740719999999999421e-03,2.383415632512298453e-03,1.440239999999999923e-02,2.072679999999999922e-03,1.266167999999999981e-02,1.176719038217704724e-03
-1.707880000000000109e+01,1.906399999999988659e-04,2.389234597377159954e-03,1.408019999999999931e-02,2.048149999999999884e-03,1.388956000000000045e-02,1.230253444947015809e-03
-1.695779999999999887e+01,2.387620000000001755e-03,2.621626309857299272e-03,1.753510000000000138e-02,2.282670000000000098e-03,1.514747999999999963e-02,1.289318494258109935e-03
-1.683680000000000021e+01,-2.514739999999996214e-03,2.377865198962296131e-03,1.312070000000000077e-02,1.981759999999999945e-03,1.563543999999999698e-02,1.314104336358418732e-03
-1.671580000000000155e+01,6.443279999999999147e-03,3.049469784765214148e-03,2.433789999999999912e-02,2.704310000000000134e-03,1.789461999999999997e-02,1.409245681950453948e-03
-1.659489999999999910e+01,-4.819999999999130535e-06,2.869461694035311226e-03,1.974429999999999935e-02,2.456100000000000123e-03,1.974911999999999848e-02,1.483705901968445989e-03
-1.647390000000000043e+01,3.388320000000000221e-03,3.046233156981257607e-03,2.331039999999999848e-02,2.655230000000000177e-03,1.992207999999999826e-02,1.493080739207361049e-03
-1.635290000000000177e+01,-2.385859999999996595e-03,2.745437813934236727e-03,1.756560000000000066e-02,2.303710000000000046e-03,1.995145999999999725e-02,1.493435310309757045e-03
-1.623189999999999955e+01,9.696200000000008978e-04,2.913237835784781606e-03,2.079989999999999964e-02,2.504709999999999836e-03,1.983027999999999874e-02,1.487744098878567272e-03
-1.611090000000000089e+01,1.423009999999999553e-02,3.554543128303270204e-03,3.380409999999999665e-02,3.233359999999999793e-03,1.957400000000000112e-02,1.476536474784148492e-03
-1.598990000000000045e+01,1.855941999999999661e-02,3.757664118178738900e-03,3.838049999999999795e-02,3.450760000000000199e-03,1.982108000000000134e-02,1.487378582422108292e-03
-1.586899999999999977e+01,2.392795999999999812e-02,4.082296835636527003e-03,4.565190000000000220e-02,3.772419999999999853e-03,2.172394000000000408e-02,1.560126532640221430e-03
-1.574799999999999933e+01,1.225337999999999775e-02,3.713787163120687174e-03,3.577489999999999837e-02,3.338789999999999900e-03,2.352152000000000062e-02,1.626252264828553524e-03
-1.562700000000000067e+01,1.312999999999999931e-02,3.857839172675812944e-03,3.860059999999999880e-02,3.465499999999999831e-03,2.547059999999999949e-02,1.695061306334375711e-03
-1.550600000000000023e+01,2.718294000000000266e-02,4.490933218901389974e-03,5.458160000000000095e-02,4.132249999999999639e-03,2.739865999999999829e-02,1.758690170021996735e-03
-1.538499999999999979e+01,6.408500000000001001e-03,3.815742830634685171e-03,3.621769999999999851e-02,3.343580000000000076e-03,2.980919999999999750e-02,1.838577203475557243e-03
-1.526399999999999935e+01,8.483180000000006826e-03,4.016619272066995587e-03,4.021120000000000250e-02,3.538219999999999907e-03,3.172801999999999567e-02,1.901112728993207320e-03
-1.514310000000000045e+01,2.760312000000000182e-02,4.836554428599351176e-03,6.177780000000000077e-02,4.414099999999999795e-03,3.417467999999999895e-02,1.976861130885020166e-03
-1.502210000000000001e+01,1.292162000000000172e-02,4.413419296043828363e-03,4.885980000000000184e-02,3.918579999999999633e-03,3.593818000000000012e-02,2.030517339569401589e-03
-1.490109999999999957e+01,2.956072000000000560e-02,5.091847659699964834e-03,6.783490000000000353e-02,4.639530000000000216e-03,3.827417999999999793e-02,2.098016675027155557e-03
-1.478009999999999913e+01,1.833080000000000820e-02,4.829393885011244378e-03,5.913270000000000332e-02,4.315740000000000201e-03,4.080189999999999512e-02,2.167356350253459973e-03
-1.465910000000000046e+01,9.882079999999994480e-03,4.700236122175991543e-03,5.401679999999999676e-02,4.122449999999999726e-03,4.413472000000000228e-02,2.257792196307711625e-03
