X_cm-1,subtracted_Y,subtracted_E,pureMeOH_raw_Y,pureMeOH_raw_E,emptyAlcan_Y,emptyAlcan_E
-2.010340000000000060e+01,5.662179999999999297e-03,3.144103410688172794e-03,8.391759999999999844e-03,3.034409999999999972e-03,2.729580000000000114e-03,8.232509999999999958e-04
-1.998239999999999839e+01,1.127293999999999866e-02,3.899289852911809115e-03,1.296959999999999953e-02,3.845809999999999854e-03,1.696660000000000008e-03,6.435889999999999667e-04
-1.986139999999999972e+01,4.949310000000000168e-03,2.826624882386235497e-03,6.700580000000000251e-03,2.748510000000000016e-03,1.751270000000000084e-03,6.599250000000000081e-04
-1.974040000000000106e+01,3.651920000000000339e-03,2.693082041127043032e-03,5.794040000000000301e-03,2.591940000000000043e-03,2.142119999999999962e-03,7.311210000000000495e-04
-1.961939999999999884e+01,-8.732900000000000905e-04,1.893378130426143875e-03,2.352449999999999854e-03,1.663970000000000076e-03,3.225739999999999944e-03,9.033739999999999739e-04
-1.949849999999999994e+01,1.037603999999999957e-02,4.065699574750327935e-03,1.371750000000000053e-02,3.963669999999999867e-03,3.341460000000000090e-03,9.051149999999999560e-04
-1.937750000000000128e+01,4.778299999999999215e-03,3.085310006777924972e-03,7.819929999999999243e-03,2.957679999999999858e-03,3.041630000000000028e-03,8.782180000000000542e-04
-1.925649999999999906e+01,2.924290000000000396e-03,2.907567966862339547e-03,6.707000000000000288e-03,2.739000000000000115e-03,3.782709999999999892e-03,9.756180000000000364e-04
-1.913550000000000040e+01,4.417449999999999849e-03,2.948061823270502636e-03,6.942130000000000349e-03,2.837140000000000148e-03,2.524680000000000066e-03,8.010650000000000019e-04
-1.901450000000000173e+01,9.055199999999999361e-04,2.796170707467625013e-03,5.732339999999999831e-03,2.567219999999999832e-03,4.826819999999999895e-03,1.108129999999999922e-03
-1.889349999999999952e+01,8.325209999999999555e-03,3.692589272711087681e-03,1.134049999999999989e-02,3.588449999999999973e-03,3.015289999999999897e-03,8.707710000000000016e-04
-1.877260000000000062e+01,5.055419999999999706e-03,2.969441447756800134e-03,7.155919999999999642e-03,2.878050000000000053e-03,2.100499999999999937e-03,7.310339999999999807e-04
-1.865159999999999840e+01,6.371899999999999786e-03,3.332233542169725764e-03,9.024249999999999286e-03,3.232319999999999898e-03,2.652349999999999933e-03,8.098689999999999535e-04
-1.853059999999999974e+01,5.983799999999999189e-03,3.118762157463117815e-03,8.024089999999999348e-03,3.034129999999999900e-03,2.040290000000000159e-03,7.216180000000000424e-04
-1.840960000000000107e+01,9.527809999999999405e-03,3.946675758919270492e-03,1.281279999999999919e-02,3.839899999999999824e-03,3.284989999999999785e-03,9.118210000000000507e-04
-1.828859999999999886e+01,1.788108000000000058e-02,4.894180345010694204e-03,2.038819999999999869e-02,4.829439999999999948e-03,2.507119999999999835e-03,7.934170000000000372e-04
-1.816760000000000019e+01,5.033730000000000149e-03,3.358564929400651138e-03,9.056599999999999720e-03,3.204250000000000067e-03,4.022869999999999571e-03,1.006350000000000040e-03
-1.804670000000000130e+01,8.509840000000001153e-03,4.158239689868779496e-03,1.382040000000000005e-02,3.993280000000000093e-03,5.310559999999999760e-03,1.159599999999999997e-03
-1.792569999999999908e+01,6.701780000000000063e-03,3.553486285287309199e-03,1.025910000000000016e-02,3.424289999999999973e-03,3.557320000000000100e-03,9.494749999999999718e-04
-1.780470000000000041e+01,1.209049000000000235e-02,4.469773601928849448e-03,1.663780000000000120e-02,4.340179999999999906e-03,4.547309999999999720e-03,1.068509999999999946e-03
-1.768370000000000175e+01,8.489999999999999283e-04,2.954484435599551498e-03,6.226240000000000073e-03,2.710390000000000021e-03,5.377240000000000145e-03,1.175910000000000063e-03
-1.756269999999999953e+01,1.143637999999999946e-02,4.747949256363214084e-03,1.771249999999999908e-02,4.577689999999999711e-03,6.276119999999999616e-03,1.260070000000000070e-03
-1.744170000000000087e+01,8.887090000000000267e-03,3.896239553851893293e-03,1.250800000000000002e-02,3.776269999999999974e-03,3.620910000000000187e-03,9.594099999999999503e-04
-1.732079999999999842e+01,8.889270000000001198e-03,4.255859177569202255e-03,1.416889999999999990e-02,4.094630000000000145e-03,5.279629999999999566e-03,1.160320000000000058e-03
-1.719979999999999976e+01,4.639119999999999182e-03,3.262366894859620049e-03,8.340449999999999253e-03,3.112769999999999947e-03,3.701330000000000071e-03,9.765760000000000499e-04
-1.707880000000000109e+01,1.048030999999999963e-02,4.616093871629994676e-03,1.650559999999999874e-02,4.446109999999999646e-03,6.025289999999999986e-03,1.241139999999999952e-03
